     newid   newDSid  respntID   flowacc      Size      lake      elev     openl     woodl       sea     ilake     olake  rcarowOL  rcacolOL  latitude longitude   rcarow1   rcacol1   rcarow2   rcacol2   rcarow3   rcacol3   rcarow4   rcacol4   rcarow5   rcacol5   rcarow6   rcacol6   rcawgt1   rcawgt2   rcawgt3   rcawgt4   rcawgt5   rcawgt6
         1        21      1080       175       175        50     0.000     0.266     0.414     0.000     0.034     0.286        33        31   0.00000   0.00000        33        31        34        32        34        31         0         0         0         0         0         0   0.91429   0.05714   0.02857   0.00000   0.00000   0.00000
         2         8      1080       231       231        53     0.000     0.411     0.351     0.000     0.009     0.229        39        28   0.00000   0.00000        39        28        39        29        38        28         0         0         0         0         0         0   0.10823   0.80519   0.08658   0.00000   0.00000   0.00000
         3        20      1080       351       351        61     0.000     0.342     0.379     0.000     0.105     0.174        32        32   0.00000   0.00000        32        32        33        32        33        31         0         0         0         0         0         0   0.06268   0.87464   0.06268   0.00000   0.00000   0.00000
         4        22      1080       440       440        68     0.000     0.605     0.202     0.000     0.039     0.155        31        32   0.00000   0.00000        31        32        32        33        32        34         0         0         0         0         0         0   0.00682   0.55455   0.43864   0.00000   0.00000   0.00000
         5        11      1080      2520      2520         0   161.017     0.811     0.177     0.000     0.012     0.000        31        33   0.00000   0.00000        31        33        31        34        30        33        30        32         0         0         0         0   0.25536   0.18360   0.42078   0.14026   0.00000   0.00000
         6        13      1080      2539      2539        -5   304.820     0.327     0.623     0.000     0.050     0.000        34        31   0.00000   0.00000        34        31        35        32        35        31        36        31         0         0         0         0   0.02259   0.03805   0.73365   0.20571   0.00000   0.00000
         7        22      1080      2633      2633         0   139.091     0.531     0.381     0.000     0.087     0.000        32        34   0.00000   0.00000        32        34        31        33        31        34        32        33         0         0         0         0   0.42789   0.18679   0.38488   0.00043   0.00000   0.00000
         8        16      1080      2860      2629         0   828.396     0.774     0.084     0.000     0.142     0.000        38        28   0.00000   0.00000        38        28        39        28        39        27        40        28         0         0         0         0   0.01292   0.45122   0.16169   0.37416   0.00000   0.00000
         9        12      1080      2894      2894         0   223.831     0.200     0.735     0.000     0.065     0.000        33        31   0.00000   0.00000        33        31        34        31        34        30        35        31         0         0         0         0   0.01186   0.33587   0.57433   0.07793   0.00000   0.00000
        10        22      1080      3113      3113         0   169.902     0.060     0.796     0.000     0.145     0.000        32        31   0.00000   0.00000        32        31        32        30        33        31        33        30         0         0         0         0   0.20846   0.26638   0.30359   0.22156   0.00000   0.00000
        11        22      1080      3361       841       154     0.000     0.685     0.119     0.000     0.014     0.183        31        32   0.00000   0.00000        31        32        31        33        31        34         0         0         0         0         0         0   0.12723   0.84780   0.02497   0.00000   0.00000   0.00000
        12        21      1080      3780       886        75     0.000     0.143     0.644     0.000     0.129     0.085        33        31   0.00000   0.00000        33        31        33        32        33        30        34        31         0         0         0         0   0.86343   0.01467   0.08352   0.03837   0.00000   0.00000
        13        20      1080      3847      1308        55     0.000     0.283     0.612     0.000     0.063     0.042        34        32   0.00000   0.00000        34        32        34        31        35        31        34        30         0         0         0         0   0.16740   0.75771   0.03965   0.03524   0.00000   0.00000
        14        15      1080      3942      3942         4   227.515     0.142     0.745     0.000     0.113     0.000        33        33   0.00000   0.00000        33        33        34        34        33        34        34        33         0         0         0         0   0.06067   0.34610   0.01790   0.57534   0.00000   0.00000
        15        20      1080      4690       748       119     0.000     0.269     0.518     0.000     0.054     0.159        33        34   0.00000   0.00000        33        34        32        33        32        34        33        33         0         0         0         0   0.40562   0.26238   0.10442   0.22758   0.00000   0.00000
        16        17      1080      5716      2856         0   707.612     0.461     0.519     0.000     0.020     0.000        37        30   0.00000   0.00000        37        30        37        29        38        30        38        29         0         0         0         0   0.23237   0.38622   0.00214   0.37927   0.00000   0.00000
        17        18      1080      8285      2569         0   444.993     0.344     0.599     0.000     0.057     0.000        36        31   0.00000   0.00000        36        31        36        30        37        31        37        30         0         0         0         0   0.23522   0.39527   0.04983   0.31968   0.00000   0.00000
        18        19      1080     10933      2648         0   287.696     0.317     0.596     0.000     0.087     0.000        35        32   0.00000   0.00000        35        32        34        32        35        33        34        33         0         0         0         0   0.70597   0.20160   0.07205   0.02038   0.00000   0.00000
        19        20      1080     14040      3107      -540   107.686     0.389     0.361     0.000     0.077    -0.174        33        33   0.00000   0.00000        33        33        33        32        34        33        34        32         0         0         0         0   0.27500   0.22071   0.23036   0.27393   0.00000   0.00000
        20        21      1080     25463      2535     -2139    58.846     0.189     0.153     0.000     0.027    -0.844        32        32   0.00000   0.00000        32        32        33        32        32        33        33        34         0         0         0         0   0.43462   0.33960   0.19661   0.02916   0.00000   0.00000
        21        22      1080     32567      3149     -3276    92.826     0.203     0.354     0.000     0.082    -1.040        31        32   0.00000   0.00000        31        32        32        33        32        32        33        32         0         0         0         0   0.01215   0.48177   0.28051   0.22557   0.00000   0.00000
        22        23      1080     45680      3566     -4563    85.657     0.171     0.353     0.000     0.115    -1.280        31        32   0.00000   0.00000        31        32        32        32        31        31        32        31         0         0         0         0   0.26205   0.25908   0.23597   0.24290   0.00000   0.00000
        23        24      1080     48839      3159     -4889   108.093     0.436     0.426     0.000     0.036    -1.548        31        32   0.00000   0.00000        31        32        31        33        30        32        30        33         0         0         0         0   0.32009   0.11368   0.24274   0.32350   0.00000   0.00000
        24        25      1080     48987       148      4978     0.000     0.162     0.209     0.000     0.027    33.635        30        32   0.00000   0.00000        30        32        31        32         0         0         0         0         0         0         0         0   0.37162   0.62838   0.00000   0.00000   0.00000   0.00000
        25        26      1080     51498      2511         0   102.690     0.319     0.598     0.000     0.082     0.000        29        32   0.00000   0.00000        29        32        29        33        30        33        29        31         0         0         0         0   0.75092   0.05141   0.12791   0.06977   0.00000   0.00000
        26         0      1080     51514        16         0    28.062     0.469     0.469     0.000     0.062     0.000        29        32   0.00000   0.00000        29        32         0         0         0         0         0         0         0         0         0         0   1.00000   0.00000   0.00000   0.00000   0.00000   0.00000
        27        39       280       438       438        75     0.000     0.124     0.604     0.000     0.100     0.171        50        32   0.00000   0.00000        50        32        50        31         0         0         0         0         0         0         0         0   0.76941   0.23059   0.00000   0.00000   0.00000   0.00000
        28        37       280      2113      2113        50     0.000     0.361     0.591     0.000     0.025     0.024        49        30   0.00000   0.00000        49        30        50        31        50        30        50        29         0         0         0         0   0.10065   0.06548   0.46807   0.36580   0.00000   0.00000
        29        37       280      2513      2513         0   772.708     0.545     0.420     0.000     0.035     0.000        50        30   0.00000   0.00000        50        30        50        31        50        29        51        30         0         0         0         0   0.24268   0.00455   0.53806   0.21470   0.00000   0.00000
